protocol	downlink	uplink	throughput	delay	avg_capacity	throughput/delay
W50	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.71	607	5.04	7,7594728171
W20	 Verizon-LTE-short.down	 Verizon-LTE-short.up	3.2	277	5.04	11,5523465704
W80	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.97	892	5.04	5,5717488789
W10	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.9	154	5.04	12,3376623377
W30	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.01	400	5.04	10,025
W35	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.27	452	5.04	9,4469026549
W40	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.47	503	5.04	8,8866799205
W15	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.62	213	5.04	12,3004694836
W14	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.48	198	5.04	12,5252525253
W95	 Verizon-LTE-short.down	 Verizon-LTE-short.up	4.99	1011	5.04	4,9357072206
W5	 Verizon-LTE-short.down	 Verizon-LTE-short.up	1.03	108	5.04	9,537037037
W13	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.35	187	5.04	12,5668449198
W12	 Verizon-LTE-short.down	 Verizon-LTE-short.up	2.19	177	5.04	12,3728813559
